1. Status Bpk/Ibu/Saudara/i:,5. Saya memahami Visi dan Misi Program Studi Teknik Informatika STT Wastukancana.,6. Saya memahami bahwa Visi dan Misi  Program Studi Teknik Informatika STT Wastukancana harus dilaksanakan.,7. Saya memahami fungsi Visi dan Misi Program Studi Teknik Informatika STT Wastukancana sebagai arahan dalam kegiatan akademik.,8. Saya memahami dengan baik bahwa setiap program harus dilaksanakan harus berdasarkan Visi dan Misi Program Studi Teknik Informatika STT Wastukancana.,9. Saya memahami Visi dan Misi Program Studi Teknik Informatika STT Wastukancana sudah realistik.
Dosen,5,5,5,5,5
Mahasiswa,4,4,4,3,3
Mahasiswa,5,4,5,5,5
Dosen,4,5,4,5,4
Dosen,5,5,5,5,5
Mahasiswa,3,4,4,4,3
Mahasiswa,3,5,5,5,3
Mahasiswa,3,3,3,3,3
Mahasiswa,3,4,4,4,4
Mahasiswa,5,5,4,4,4
Mahasiswa,4,4,4,4,4
Dosen,4,5,5,5,4
Mahasiswa,4,5,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,3
Mahasiswa,3,3,3,3,3
Mahasiswa,3,3,3,3,3
Mahasiswa,4,5,3,4,4
Mahasiswa,3,4,4,4,4
Mahasiswa,3,3,3,3,3
Mahasiswa,4,5,4,5,4
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,5,4,4,5
Mahasiswa,3,4,3,4,3
Mahasiswa,2,2,2,2,2
Mahasiswa,3,4,3,4,3
Alumni,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,4,5,4,4,4
Mahasiswa,4,2,4,5,5
Alumni,5,5,5,5,5
Alumni,3,4,5,4,4
Mahasiswa,5,5,5,5,3
Mahasiswa,4,5,4,4,4
Mahasiswa,4,4,4,5,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,4,5,4,4,4
Mahasiswa,5,5,4,5,5
Mahasiswa,4,4,3,3,3
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,4,5,5,5,3
Dosen,4,5,4,5,4
Alumni,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Alumni,4,4,5,4,4
Mahasiswa,5,5,5,5,4
Mahasiswa,4,4,4,4,4
Mahasiswa,1,1,1,1,1
Mahasiswa,4,5,4,4,5
Mahasiswa,3,3,3,5,4
Dosen,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,4,5,4,5,4
Mahasiswa,5,5,5,5,5
Dosen,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,4,3,5,4
Mahasiswa,5,5,5,5,4
Mahasiswa,4,4,4,4,4
Mahasiswa,4,4,4,5,4
Mahasiswa,4,4,5,5,4
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,4,4,4,4,4
Mahasiswa,3,4,4,3,3
Mahasiswa,5,5,4,5,4
Mahasiswa,5,5,5,5,5
Mahasiswa,3,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,2,2,2,2,2
Mahasiswa,4,5,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,5,4,4,4
Dosen,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,3
Mahasiswa,3,3,5,3,3
Mahasiswa,4,4,4,4,3
Mahasiswa,4,3,4,4,4
Mahasiswa,3,4,4,3,3
Mahasiswa,5,5,5,5,5
Tenaga Kependidikan,4,5,5,5,4
Tenaga Kependidikan,4,5,4,4,3
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,4
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Mahasiswa,3,3,3,3,3
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,3,4,4,4,3
Mahasiswa,4,5,5,5,4
Mahasiswa,4,4,4,4,4
Mahasiswa,3,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,4,5,5
Mahasiswa,3,4,4,4,4
Mahasiswa,2,5,5,4,5
Mahasiswa,4,3,2,4,2
Dosen,4,5,5,4,5
Alumni,5,5,5,5,5
Alumni,5,5,5,5,5
Mahasiswa,3,3,4,3,4
Mahasiswa,3,5,5,4,3
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Mahasiswa,4,5,4,5,5
Mahasiswa,4,5,4,4,5
Mahasiswa,5,5,5,5,5
Mahasiswa,5,5,5,5,5
Tenaga Kependidikan,4,5,5,5,4
Mahasiswa,5,5,5,5,5
Mahasiswa,4,4,4,4,4
Alumni,5,5,5,5,5
Alumni,5,5,5,5,5
Alumni,5,5,4,5,4
Mahasiswa,3,5,5,5,5
Dosen,5,4,4,4,5
Mahasiswa,5,5,5,5,5
Dosen,5,5,5,5,5
Mahasiswa,4,5,5,5,3
Mahasiswa,4,4,4,4,4
Mahasiswa,3,3,3,3,3
Mahasiswa,4,5,5,5,4
Mahasiswa,3,5,4,4,4
Mahasiswa,3,4,4,4,4
Mahasiswa,4,4,4,3,3
Mahasiswa,4,4,4,4,5
Mahasiswa,5,5,5,5,5
Mahasiswa,3,4,4,4,3
Mahasiswa,4,4,4,4,4
