KEPEMIMPINAN,KEPEMIMPINAN,KEPEMIMPINAN,KEPEMIMPINAN,KEPEMIMPINAN,KEPEGAWAIAN,KEPEGAWAIAN,KEPEGAWAIAN,KEPEGAWAIAN,KEPEGAWAIAN,KEUANGAN,KEUANGAN,KEUANGAN,KEUANGAN,KEUANGAN
Pimpinan membuat perencanaan dalam menjalankan kepemimpinannya,Pimpinan memberikan arahan baik secara lisan maupun tulisan yang mudah dipahami,Pimpinan menciptakan suasana kerja yang kondusif sehingga bekerja menjadi hal yang menyenangkan dan efektif,Pimpinan menegakkan aturan dengan konsisten dan menerapkannya dengan adil,"Pimpinan memberikan jaminan penyampaian kritik, saran, dan keluhan secara bebas dan mandiri",Terbuka untuk pengembangan karir dan semua memiliki kesempatan yang sama,Beban kerja sesuai dengan tugas pokok dan fungsi,Terdapat penghargaan prestasi kinerja,Tersedianya jaminan sosial sehingga menunjang kesejahteraan,Adanya dukungan untuk mengikuti kursus/pelatihan yang dibutuhkan,Semua proses penyelesaian kegiatan keuangan cepat dan tepat waktu,"Petugas pelayanan keuangan bersikap sopan, ramah, dapat diandalkan, dan kompeten dalam memberikan pelayanan",Sistem penggajian sesuai dengan tugas pokok dan fungsi dan beban kerja,"Kuantitas ruang pelayanan bagian keuangan memadai dengan kualitas bersih, rapi, dan nyaman",Pelayanan keuangan telah memiliki sistem komputerisasi sehingga pengolahan transaksi keuangan bekerja dengan efektif
3,3,3,3,4,4,3,2,4,3,3,3,3,4,3
3,2,3,2,3,3,2,2,4,3,2,2,3,2,2
4,3,4,3,3,3,4,3,4,3,4,4,3,4,3
3,3,2,3,3,3,3,3,3,2,3,3,3,3,3
3,4,4,4,4,3,3,3,4,3,3,3,3,3,3
3,3,3,2,2,2,3,3,3,2,1,2,3,3,2
3,2,4,2,3,4,4,3,4,3,2,3,3,1,2
1,2,1,1,1,1,1,1,4,1,2,2,4,1,1
4,4,4,4,3,4,4,4,4,4,4,4,4,3,4
3,2,3,2,3,3,3,2,3,3,3,3,3,2,3
3,3,3,2,3,3,3,1,4,2,1,3,3,2,4
4,3,3,3,3,4,3,4,4,4,2,4,4,4,4
