1. Infokus yang tersedia selalu berada dalam kondisi yang prima.,2. Meja dan kursi dalam ruangan kelas selalu tertata rapi sebelum dosen memulai mengajar di kelas.,3. Akses internet selalu lancar.,"4. Kenyamanan lingkungan fisik untuk bekerja dan ruang kelas (ruangan, meja, kursi, komputer, dll).",1. Dosen mendapatkan asuransi kesehatan.,2. Fasilitas klinik di kampus memadai dalam memberikan pertolongan pertama.
5,4,2,5,5,5
4,5,3,4,4,4
5,5,5,5,5,
5,5,4,4,5,
3,3,3,3,3,
4,4,1,3,5,
5,4,4,5,4,
5,5,5,5,5,
4,4,3,2,3,
5,5,4,4,5,
1,3,3,3,5,
4,4,4,4,4,
2,3,2,3,5,
3,4,3,1,4,
5,5,5,4,5,
5,5,5,5,4,
4,4,2,3,3,
